,open,high,low,close,volume
2017-01-03,30.52,30.74,30.45,30.56,5400000.0
2017-01-04,30.55,31.76,30.49,31.62,12688994.0
2017-01-05,31.67,32.14,31.23,31.65,14529981.0
2017-01-06,31.44,32.14,31.44,31.7,11834122.0
2017-01-09,31.66,32.12,31.62,31.81,7866205.0
2017-01-10,31.7,32.01,31.58,31.63,4837775.0
2017-01-11,31.68,31.74,31.16,31.21,4662196.0
2017-01-12,31.21,31.47,30.38,30.45,7869349.0
2017-01-13,30.45,30.77,29.97,30.47,6325449.0
2017-01-16,30.21,30.6,29.45,30.15,6721359.0
2017-01-17,30.19,30.99,30.0,30.84,7596460.0
2017-01-18,30.82,31.72,30.79,31.53,11998726.0
2017-01-19,31.65,31.65,31.02,31.3,7548991.0
2017-01-20,31.26,31.46,30.93,31.37,5879563.0
2017-01-23,31.39,32.42,31.35,31.57,13720070.0
2017-01-24,31.45,31.66,31.25,31.58,6289405.0
2017-01-25,31.56,31.67,31.18,31.24,6475590.0
2017-01-26,31.23,31.35,30.68,31.02,4964608.0
2017-02-03,31.05,31.1,30.14,30.29,7926124.0
2017-02-06,30.38,30.81,30.2,30.66,7839127.0
2017-02-07,30.65,31.19,30.5,30.89,6171777.0
2017-02-08,30.84,31.24,30.68,31.07,6056016.0
2017-02-09,31.05,32.39,31.05,32.32,22836733.0
2017-02-10,32.31,32.42,31.93,31.95,10470544.0
2017-02-13,32.16,34.35,32.02,33.2,19060803.0
2017-02-14,33.08,33.92,32.77,33.6,12050551.0
2017-02-15,33.6,33.85,33.16,33.35,7953225.0
2017-02-16,33.33,33.57,32.84,33.46,6967593.0
2017-02-17,34.06,35.14,33.8,34.06,13155055.0
2017-02-20,34.18,35.86,34.12,35.59,18990296.0
2017-02-21,35.58,36.05,34.89,35.44,7666632.0
2017-02-22,35.45,36.36,35.08,35.73,8791594.0
2017-02-23,35.71,36.44,34.85,35.06,12551767.0
2017-02-24,35.15,35.55,34.59,35.32,6955555.0
2017-02-27,34.98,35.15,34.06,34.11,12485705.0
2017-02-28,34.06,34.74,34.02,34.42,7907114.0
2017-03-01,34.42,35.24,34.42,34.9,9872758.0
2017-03-02,34.98,35.67,34.71,34.94,7928352.0
2017-03-03,34.77,35.6,34.67,35.44,5432856.0
2017-03-06,35.44,36.05,34.98,35.44,10964958.0
2017-03-07,35.42,36.83,35.24,36.75,12824906.0
2017-03-08,36.77,36.94,36.41,36.75,9340811.0
2017-03-09,36.73,36.73,35.8,36.43,6793334.0
2017-03-10,36.23,37.15,36.09,36.36,8951946.0
2017-03-13,36.36,37.45,36.18,37.41,13403256.0
2017-03-14,37.48,37.93,36.31,36.8,11691449.0
2017-03-15,36.56,37.21,36.53,37.04,7154098.0
2017-03-16,37.1,37.89,36.44,36.78,9062935.0
2017-03-17,36.57,37.46,36.37,36.61,7672432.0
2017-03-20,36.6,37.06,36.38,36.46,10389651.0
2017-03-21,36.53,38.34,36.46,38.3,20851610.0
2017-03-22,37.84,39.58,37.64,39.58,15557872.0
2017-03-23,39.14,39.17,38.12,38.83,12921810.0
2017-03-24,38.8,39.84,38.07,38.72,16312611.0
2017-03-27,38.49,38.62,37.29,37.64,14591322.0
2017-03-28,37.66,37.9,36.99,37.75,10145674.0
2017-03-29,37.72,38.55,37.65,38.22,9824413.0
2017-03-30,38.25,38.86,37.75,38.46,9371128.0
2017-03-31,38.47,39.3,38.39,38.84,8352612.0
2017-04-05,38.76,39.77,38.68,38.81,9679710.0
2017-04-06,38.74,38.91,37.79,38.48,7562639.0
2017-04-07,38.35,38.57,38.1,38.25,4743716.0
2017-04-10,38.27,38.27,36.71,37.19,11181273.0
2017-04-11,37.01,37.46,35.9,36.78,13203824.0
2017-04-12,36.71,37.85,36.41,37.25,11407806.0
2017-04-13,37.11,38.25,37.11,37.99,7192348.0
2017-04-14,37.99,38.1,37.47,37.89,5059534.0
2017-04-17,37.73,39.13,37.53,38.62,10694377.0
2017-04-18,38.63,39.9,38.49,39.63,15344975.0
2017-04-19,40.32,41.06,39.86,40.06,25340542.0
2017-04-20,40.22,43.22,40.05,42.23,24952123.0
2017-04-21,42.35,43.44,41.43,42.05,16267577.0
2017-04-24,41.43,41.96,39.49,41.24,18012513.0
2017-04-25,41.43,43.74,41.27,43.74,16651385.0
2017-04-26,43.72,45.08,42.16,42.4,16825207.0
2017-04-27,42.47,43.16,41.55,43.04,8205793.0
2017-04-28,43.27,43.53,40.6,42.81,20998220.0
2017-05-02,41.61,42.37,40.72,41.7,10267852.0
2017-05-03,41.81,43.13,41.8,42.28,7631623.0
2017-05-04,42.28,42.58,41.43,42.01,6711509.0
2017-05-05,41.89,42.5,41.44,41.81,4347065.0
2017-05-08,41.87,41.88,40.1,40.23,9760219.0
2017-05-09,40.03,41.04,38.92,41.04,10792805.0
2017-05-10,41.05,42.27,40.81,41.14,7256048.0
2017-05-11,41.03,42.43,40.89,42.35,8612160.0
2017-05-12,42.58,42.95,41.91,42.65,5360985.0
2017-05-15,42.35,43.82,42.28,43.26,7801781.0
2017-05-16,43.14,45.18,42.83,44.88,12700326.0
2017-05-17,44.9,44.9,43.35,43.41,11339948.0
2017-05-18,43.46,44.05,42.77,43.1,7476720.0
2017-05-19,42.91,43.7,42.91,43.47,6210482.0
2017-05-22,43.07,43.82,42.81,43.62,7057535.0
2017-05-23,43.32,45.22,43.32,44.83,15018596.0
2017-05-24,44.59,44.93,43.34,44.36,8980917.0
2017-05-25,44.19,44.81,43.9,44.51,4787016.0
2017-05-26,44.74,44.87,43.73,44.68,5216496.0
2017-05-31,44.28,44.57,43.21,44.39,11138312.0
2017-06-01,43.95,44.63,43.69,44.2,5949473.0
2017-06-02,44.21,44.41,43.36,43.69,6231939.0
2017-06-05,43.61,43.85,42.78,42.98,5708531.0
2017-06-06,42.82,44.06,42.82,44.02,7007619.0
2017-06-07,44.1,45.66,43.88,45.63,16318629.0
2017-06-08,45.57,46.93,45.12,46.03,10608819.0
2017-06-09,45.81,47.04,45.56,45.89,7821870.0
2017-06-12,46.02,48.43,45.94,46.97,11809766.0
2017-06-13,47.0,47.23,45.8,46.84,6587941.0
2017-06-14,46.31,47.18,45.71,46.24,7313981.0
2017-06-15,46.12,46.26,44.68,45.2,11650447.0
2017-06-16,45.21,46.01,44.47,45.4,7700742.0
2017-06-19,45.43,46.59,45.08,46.0,9284794.0
2017-06-20,46.0,46.51,45.71,46.28,9002424.0
2017-06-21,46.32,47.07,45.53,47.07,11209312.0
2017-06-22,46.98,47.78,46.65,46.88,13928840.0
2017-06-23,46.75,47.04,46.0,46.97,8217205.0
2017-06-26,47.2,49.0,47.03,49.0,16868234.0
2017-06-27,48.95,49.0,47.87,48.62,9088173.0
2017-06-28,48.62,48.62,47.39,47.5,6324762.0
2017-06-29,47.68,47.68,46.92,47.47,7321278.0
2017-06-30,47.22,47.87,46.89,47.48,6863174.0
2017-07-03,47.63,47.71,45.69,45.92,12827145.0
2017-07-04,45.76,45.76,43.82,44.92,15483472.0
2017-07-05,44.77,46.3,44.47,45.81,10399220.0
2017-07-06,45.81,46.14,44.99,45.83,7423309.0
2017-07-07,45.81,45.81,44.58,45.29,10747884.0
2017-07-10,44.96,45.84,44.01,45.36,17266215.0
2017-07-11,45.06,46.92,45.06,46.54,13731050.0
2017-07-12,46.52,46.54,45.53,45.66,6618908.0
2017-07-13,45.99,46.42,45.53,45.83,5403450.0
2017-07-14,45.54,46.24,45.19,46.15,4270538.0
2017-07-17,46.14,46.48,43.65,45.03,6781950.0
2017-07-18,44.92,45.69,44.59,45.54,7623211.0
2017-07-19,45.57,47.15,45.57,46.86,9994985.0
2017-07-20,47.41,48.4,46.98,48.2,10299517.0
2017-07-21,48.2,48.97,47.62,48.23,7312756.0
2017-07-24,48.23,50.64,48.23,49.37,10992794.0
2017-07-25,49.48,50.56,49.19,49.89,8346377.0
2017-07-26,49.75,50.55,48.11,48.81,8337250.0
2017-07-27,49.09,50.03,48.44,49.56,6740512.0
2017-07-28,49.29,51.81,49.0,51.75,11154046.0
2017-07-31,51.86,54.07,51.63,51.97,16410926.0
2017-08-01,52.17,53.11,51.37,53.09,6691905.0
2017-08-02,52.57,53.02,51.41,52.1,8731176.0
2017-08-03,52.14,52.14,50.36,50.59,9118318.0
2017-08-04,50.15,50.82,49.61,50.08,7528926.0
2017-08-07,50.2,52.85,49.7,52.56,11930138.0
2017-08-08,52.57,53.79,52.01,52.75,7420856.0
2017-08-09,52.45,55.56,51.96,55.21,14310045.0
2017-08-10,54.99,56.83,54.04,54.57,16222446.0
2017-08-11,54.49,54.57,52.83,53.12,10167346.0
2017-08-14,52.93,54.69,52.85,53.5,14612660.0
2017-08-15,53.51,53.86,52.73,53.73,8044097.0
2017-08-16,53.52,53.93,53.04,53.37,7140151.0
2017-08-17,52.89,53.35,51.91,52.48,8741628.0
2017-08-18,52.0,53.09,51.97,52.66,5554308.0
2017-08-21,52.8,53.26,51.71,52.39,6484357.0
2017-08-22,52.27,52.27,49.01,51.54,21743964.0
2017-08-23,51.05,52.03,50.59,51.85,9824543.0
2017-08-24,51.72,51.86,50.69,50.73,5893576.0
2017-08-25,50.69,50.97,49.66,50.64,9419177.0
2017-08-28,51.16,52.43,51.14,51.38,12966317.0
2017-08-29,50.59,51.52,50.03,50.46,16198427.0
2017-08-30,50.69,51.68,50.27,51.63,10266238.0
2017-08-31,51.7,52.43,50.95,51.89,9215579.0
2017-09-01,51.53,51.89,50.97,51.86,10735906.0
2017-09-04,51.63,51.63,50.41,50.76,8520758.0
2017-09-05,50.59,50.88,50.31,50.44,7368006.0
2017-09-06,50.47,50.83,49.87,49.98,7101790.0
2017-09-07,50.04,50.56,49.19,50.13,7815594.0
2017-09-08,49.8,49.98,48.25,48.38,13523035.0
2017-09-11,47.89,49.25,46.98,48.81,17814993.0
2017-09-12,48.45,49.33,48.34,49.19,13342666.0
2017-09-13,49.47,52.05,49.47,51.32,26965883.0
2017-09-14,51.16,51.89,50.47,51.25,14063061.0
2017-09-15,51.24,51.93,50.74,51.62,13020518.0
2017-09-18,51.82,53.25,51.64,52.83,12751978.0
2017-09-19,52.86,53.84,51.7,51.82,10907218.0
2017-09-20,52.12,53.39,51.84,52.21,8913714.0
2017-09-21,52.19,52.57,51.44,51.75,5690472.0
2017-09-22,51.7,52.57,51.54,52.23,5353382.0
2017-09-25,52.22,53.97,52.11,53.93,13033435.0
2017-09-26,53.84,53.93,52.78,53.26,7292553.0
2017-09-27,53.12,53.25,52.29,52.75,6192388.0
2017-09-28,52.73,53.97,52.73,53.32,10344456.0
2017-09-29,53.22,54.11,52.62,52.66,8838786.0
2017-10-09,53.22,53.84,52.14,52.92,9962680.0
2017-10-10,53.03,54.25,52.63,54.16,10668569.0
2017-10-11,53.97,56.3,53.7,55.57,15025066.0
2017-10-12,55.57,56.27,54.71,55.85,9034272.0
2017-10-13,55.57,56.43,55.24,55.38,8366400.0
2017-10-16,55.26,55.8,53.55,54.11,9737685.0
